"OBJECTID","POLY_ID","LAND_AREA","WATER_AREA","FRESH_AREA","OCEAN_AREA","TOTAL_AREA"
638,30006,54810,32435,0,32435,87245
639,30007,48196,0,0,0,48196
640,30008,18342,4799,0,4799,23141
641,30009,16135,23069,0,23069,39204
642,30010,47360,105190,0,105190,152550
643,30011,81001,449880,53,449827,530881
644,30012,43667,22443,1185,21258,66110
645,30013,27031,0,0,0,27031
646,30014,12791,14510,49,14461,27301
647,30015,193660,488066,4643,483423,681726
648,30016,21222,50218,0,50218,71440
649,30017,8805,39887,0,39887,48692
650,30018,11485,47329,0,47329,58814
651,30019,105403,549322,360,548962,654725
652,30020,4135,31184,0,31184,35319
653,30021,333888,72517,1867,70650,406405
654,30022,24413,0,0,0,24413
655,30023,102314,84525,288,84237,186839
656,30024,14999,16947,0,16947,31946
657,30025,146005,913,358,555,146918
658,30026,8446,0,0,0,8446
659,30027,44955,205,0,205,45160
660,30028,65605,13783,505,13278,79388
661,30029,18280,0,0,0,18280
662,31001,78452,498103,1102,497001,576555
663,31002,15323,133017,0,133017,148340
664,31003,3913,8373,0,8373,12286
665,31004,1099,7324,0,7324,8423
666,31005,2210,8173,0,8173,10383
667,31006,41713,25841,1560,24281,67554
668,31007,1353,12424,0,12424,13777
669,31008,1172,5833,0,5833,7005
670,31009,7038,323588,90,323498,330626
671,31010,769,3302,0,3302,4071
672,31011,1846,2810,0,2810,4656
673,31012,1101,3946,0,3946,5047
674,31013,68754,3541,629,2912,72295
675,31014,9199,308,8,300,9507
676,31015,97864,316,316,0,98180
677,31016,42758,43075,0,43075,85833
678,31017,15289,97858,550,97308,113147
679,31018,6082,20545,0,20545,26627
680,31019,45873,182959,116,182843,228832
681,31020,24473,0,0,0,24473
682,31021,28309,38285,0,38285,66594
683,31022,2053,2566,0,2566,4619
684,31023,19855,124,124,0,19979
685,31024,15711,3280,154,3126,18991
686,31025,3696,21176,0,21176,24872
687,31026,88317,92167,1209,90958,180484
688,31027,2601,18106,0,18106,20707
689,31028,10245,867,339,528,11112
690,31029,39395,71258,2504,68754,110653
691,31030,50513,92506,1489,91017,143019
692,31031,195153,568826,5681,563145,763979
693,31032,7406,0,0,0,7406
694,31033,1,1783,573,1210,1784
695,31034,624,1307,0,1307,1931
696,31035,4561,7583,309,7274,12144
697,31036,34779,70,70,0,34849
698,31037,208691,376,376,0,209067
699,31038,5465,924,334,590,6389
700,31039,17431,1883,0,1883,19314
701,31040,36541,0,0,0,36541
702,31041,32954,344725,2860,341865,377679
703,31042,575,2164,0,2164,2739
704,31043,5087,5568,1174,4394,10655
705,31044,2127,4553,0,4553,6680
706,31045,59011,223,223,0,59234
707,31046,76739,252345,1113,251232,329084
708,31047,691,1361,0,1361,2052
709,31048,52394,226180,2097,224083,278574
710,31049,84379,20110,423,19687,104489
711,31050,1203,1741,0,1741,2944
712,31051,18480,18606,0,18606,37086
713,31052,14213,10611,257,10354,24824
714,31053,2911,4569,0,4569,7480
715,32001,17370,478154,0,478154,495524
716,32002,6559,174874,58,174816,181433
717,32003,105789,379299,2300,376999,485088
718,32004,15689,25938,0,25938,41627
719,32005,30968,23466,280,23186,54434
720,32006,27242,11912,846,11066,39154
721,32007,4883,4327,0,4327,9210
722,32008,53192,60399,1957,58442,113591
723,32009,164116,49506,3964,45542,213622
724,32010,2298,6962,0,6962,9260
725,32011,71244,115050,866,114184,186294
726,32012,4160,20604,0,20604,24764
727,32013,41153,105693,579,105114,146846
728,32014,41494,97207,1159,96048,138701
729,32015,67263,315,0,315,67578
730,32016,30179,0,0,0,30179
731,32017,76545,40440,1953,38487,116985
732,32018,6803,3092,0,3092,9895
733,32019,14658,39436,0,39436,54094
734,32020,78984,11870,577,11293,90854
735,32021,43367,4170,672,3498,47537
736,32022,43622,53127,0,53127,96749
737,32023,39189,2479,553,1926,41668
