"OBJECTID","CMP_ID","CFRAG1","CFRAG2","DEPTH","RESTR_TYPE","AWHC"
570,40106302,"A","A","5","-","5"
571,40106401,"A","A","5","-","5"
572,40106402,"A","A","5","-","5"
573,40106601,"A","A","5","-","5"
574,40106602,"A","A","5","-","5"
575,40106603,"A","A","5","-","5"
576,40106701,"A","A","5","-","5"
577,40106702,"A","A","5","-","5"
578,40106901,"A","A","5","-","5"
579,40106902,"-","-","-","LI","-"
580,40106903,"A","A","5","-","5"
581,40107001,"A","A","5","-","5"
582,40107002,"A","A","5","-","5"
583,40107101,"A","A","5","-","5"
584,40107102,"A","A","5","-","5"
585,40107103,"A","A","5","-","5"
586,40107301,"A","A","5","-","5"
587,40107302,"A","A","5","-","5"
588,40107501,"A","A","5","-","5"
589,40107502,"-","-","-","LI","-"
590,40107601,"A","A","5","-","5"
591,40107602,"A","A","5","-","5"
592,40107603,"A","A","5","-","5"
593,40107701,"A","A","5","-","5"
594,40107702,"A","A","5","-","5"
595,40107801,"A","A","5","-","5"
596,40107802,"A","A","5","-","5"
597,40108101,"A","A","5","-","5"
598,40108102,"-","-","-","LI","-"
599,40108103,"A","A","5","-","5"
600,40108301,"A","A","5","-","5"
601,40108302,"A","A","5","-","5"
602,40108601,"A","A","5","-","5"
603,40108602,"A","A","5","-","5"
604,40108701,"A","A","5","-","5"
605,40108702,"A","A","5","-","5"
606,40108703,"A","A","5","-","5"
607,40109201,"A","A","5","-","5"
608,40109202,"A","A","5","-","5"
609,40109203,"A","A","5","-","5"
610,40109501,"A","A","5","-","5"
611,40109502,"A","A","5","-","5"
612,40109601,"A","A","5","-","5"
613,40109602,"A","A","5","-","5"
614,40109603,"A","A","5","-","5"
615,40109701,"A","A","5","-","5"
616,40109702,"A","A","5","-","5"
617,40109801,"A","A","5","-","5"
618,40109802,"A","A","5","-","5"
619,40110001,"A","A","5","-","5"
620,40110002,"A","A","5","-","5"
621,40110003,"A","A","5","-","5"
622,40110201,"A","A","5","-","5"
623,40110202,"-","-","-","LI","-"
624,40110601,"A","A","5","-","5"
625,40110602,"A","A","5","-","5"
626,40111001,"A","A","5","-","5"
627,40111002,"A","A","5","-","5"
628,40112101,"A","A","5","-","5"
629,40112102,"A","A","5","-","5"
630,40112103,"A","A","5","-","5"
631,40112501,"A","A","5","-","5"
632,40112502,"-","-","-","LI","-"
633,40113001,"A","A","5","-","5"
634,40113002,"-","-","-","LI","-"
635,40113701,"A","A","5","-","5"
636,40113702,"A","A","5","-","5"
637,40113703,"A","A","5","-","5"
638,40114001,"A","A","5","-","5"
639,40114002,"A","A","5","-","5"
640,40114101,"A","A","5","-","5"
641,40114102,"A","A","5","-","5"
642,40700501,"A","A","5","-","2"
643,40700502,"-","-","-","-","-"
644,40700503,"A","A","5","-","5"
645,40700504,"A","A","5","-","5"
646,40700701,"-","-","-","-","-"
647,40700702,"A","A","5","-","4"
648,40700703,"A","A","5","-","2"
649,40700704,"A","A","5","-","5"
650,40800201,"A","A","5","-","5"
651,40800202,"-","-","-","LI","-"
652,40800601,"A","A","5","-","5"
653,40800602,"A","A","5","-","5"
654,40800603,"-","-","-","LI","-"
655,40800604,"A","A","5","-","5"
656,40800605,"A","A","5","-","5"
657,40800701,"A","A","5","-","5"
658,40800702,"-","-","-","LI","-"
659,40800703,"A","A","5","-","5"
660,40801001,"A","A","5","-","5"
661,40801002,"-","-","-","LI","-"
662,40801101,"A","A","5","-","5"
663,40801102,"A","A","5","-","5"
664,40801201,"-","-","-","LI","-"
665,40801202,"A","A","5","-","5"
666,40801203,"A","A","5","-","5"
667,40801401,"A","A","5","-","5"
668,40801402,"A","A","5","-","5"
669,40801403,"A","A","5","-","2"
670,40801601,"B","C","3","CT","2"
671,40801602,"-","-","-","LI","-"
672,40801701,"A","A","5","-","5"
673,40801702,"A","A","5","-","5"
674,40801801,"-","-","-","LI","-"
675,40801802,"A","A","5","-","5"
676,40801901,"A","A","5","-","5"
677,40801902,"-","-","-","LI","-"
678,40801903,"A","A","5","-","5"
679,40802001,"A","A","5","-","5"
680,40802002,"A","A","5","-","5"
681,40802101,"-","-","-","LI","-"
682,40802102,"A","A","5","-","5"
683,40900801,"-","-","-","-","-"
684,40900802,"A","A","5","-","5"
685,40900803,"A","A","5","-","5"
686,40900804,"A","A","5","-","5"
687,41000201,"-","-","-","-","-"
688,41000202,"-","-","-","-","-"
689,41000203,"A","A","5","-","5"
690,41000204,"B","A","5","-","2"
691,41000205,"A","A","5","-","5"
692,41000206,"A","A","5","-","5"
693,41100301,"-","-","-","-","-"
694,41100302,"A","A","5","-","2"
695,41100303,"A","A","5","-","5"
696,41100304,"A","A","5","-","3"
697,41100305,"A","A","5","-","2"
698,41100306,"A","A","5","-","5"
699,41100501,"-","-","-","-","-"
700,41100502,"A","A","5","-","5"
701,41100503,"B","A","5","-","2"
702,41100504,"A","A","5","-","5"
703,41100601,"A","A","5","-","5"
704,41100602,"-","-","-","-","-"
705,41100603,"A","A","5","-","2"
706,41100604,"A","A","5","-","2"
707,41100605,"A","A","5","-","2"
708,41100701,"-","-","-","-","-"
709,41100702,"A","A","5","-","3"
710,41100703,"A","A","5","-","2"
711,41100704,"B","A","5","-","2"
712,41100801,"A","A","5","-","5"
713,41100802,"-","-","-","-","-"
714,41100803,"A","A","5","-","5"
715,41100804,"A","A","5","-","2"
716,41101101,"-","-","-","-","-"
717,41101102,"A","A","5","-","2"
718,41101103,"A","A","5","-","5"
719,41101201,"-","-","-","-","-"
720,41101202,"A","-","5","-","2"
721,41101203,"A","A","5","-","2"
722,41101204,"A","A","5","-","2"
723,41101205,"A","A","5","-","5"
724,41101301,"A","A","5","-","2"
725,41101302,"A","-","5","-","2"
726,41101303,"-","-","-","-","-"
727,41101304,"A","A","5","-","2"
728,41101305,"A","A","5","-","5"
729,41200101,"-","-","-","-","-"
730,41200102,"A","A","5","-","2"
731,41200103,"A","A","5","-","5"
732,41200104,"A","A","5","-","5"
733,41200105,"A","-","5","-","2"
734,41200106,"A","A","5","-","2"
735,41300101,"-","-","-","-","-"
736,41300102,"A","A","5","-","5"
737,41300201,"A","A","5","-","4"
738,41300202,"A","A","5","-","5"
739,41300203,"A","A","5","-","4"
740,41300204,"-","-","-","-","-"
741,41300205,"A","A","5","-","4"
742,41300301,"A","-","5","-","2"
743,41300302,"-","-","-","-","-"
744,41300303,"A","A","5","-","5"
745,41300401,"A","-","5","-","2"
746,41300402,"-","-","-","-","-"
747,41300501,"A","-","5","-","2"
748,41300502,"-","-","-","-","-"
749,41300503,"A","A","5","-","5"
750,41300601,"A","A","5","-","4"
751,41300602,"-","-","-","-","-"
752,41300603,"A","A","5","-","5"
753,41300604,"A","A","3","LI","1"
754,41300605,"A","-","5","-","2"
755,41300606,"A","A","5","-","2"
756,41300607,"A","A","5","-","5"
757,41300701,"-","-","-","-","-"
758,41300702,"A","A","5","-","5"
759,41300801,"A","A","3","LI","1"
760,41300802,"A","A","5","-","2"
