"OBJECTID","LF_ID","POLY_ID","LF_TYPE","LF_SLOPE","LF_EXTENT"
414,"408012MC",408012,"M","C",65
415,"408012UA",408012,"U","A",35
416,"408014LA",408014,"L","A",100
417,"408016HC",408016,"H","C",100
418,"408017LA",408017,"L","A",100
419,"408018LA",408018,"L","A",30
420,"408018MC",408018,"M","C",70
421,"408019LA",408019,"L","A",75
422,"408019MC",408019,"M","C",25
423,"408020LA",408020,"L","A",100
424,"408021MC",408021,"M","C",70
425,"408021TA",408021,"T","A",30
426,"409008HB",409008,"H","B",100
427,"410002MB",410002,"M","B",100
428,"411003MB",411003,"M","B",100
429,"411005MB",411005,"M","B",100
430,"411006MB",411006,"M","B",100
431,"411007MB",411007,"M","B",100
432,"411008MB",411008,"M","B",100
433,"411011MB",411011,"M","B",100
434,"411012MC",411012,"M","C",100
435,"411013MC",411013,"M","C",100
436,"412001MB",412001,"M","B",100
437,"413001HC",413001,"H","C",100
438,"413002HC",413002,"H","C",100
439,"413003HC",413003,"H","C",100
440,"413004HC",413004,"H","C",100
441,"413005HC",413005,"H","C",100
442,"413006HC",413006,"H","C",100
443,"413007HB",413007,"H","B",100
444,"413008HC",413008,"H","C",100
445,"413009HC",413009,"H","C",50
446,"413009UB",413009,"U","B",50
447,"413010HC",413010,"H","C",100
448,"413011UB",413011,"U","B",100
449,"413012HB",413012,"H","B",10
450,"413012MB",413012,"M","B",90
451,"413013HB",413013,"H","B",100
452,"413014HB",413014,"H","B",70
453,"413014UB",413014,"U","B",30
454,"413015HC",413015,"H","C",30
455,"413015UB",413015,"U","B",70
456,"413016HB",413016,"H","B",50
457,"413016HC",413016,"H","C",50
458,"413017HC",413017,"H","C",100
459,"413018HB",413018,"H","B",100
460,"413019HC",413019,"H","C",50
461,"413019UA",413019,"U","A",50
462,"413020HB",413020,"H","B",50
463,"413020MB",413020,"M","B",50
464,"413021HC",413021,"H","C",50
465,"413021UB",413021,"U","B",50
466,"413022HC",413022,"H","C",100
467,"413023HC",413023,"H","C",100
468,"413024HC",413024,"H","C",100
469,"413025HB",413025,"H","B",70
470,"413025HC",413025,"H","C",30
471,"413026HC",413026,"H","C",60
472,"413026MC",413026,"M","C",40
473,"415005MC",415005,"M","C",100
474,"418006MC",418006,"M","C",100
475,"418007MC",418007,"M","C",100
476,"418008UB",418008,"U","B",100
